Age,MaritalStatus,Gender,YearlyIncome,TotalChildren,NumberChildrenAtHome,Education,Occupation,HouseOwnerFlag,NumberCarsOwned,StateProvinceCode,PostalCode,BikeBuyer
36,M,M,60000,0,0,Partial College,Skilled Manual,1,2,CA,94519,0
36,M,F,60000,0,0,Partial College,Skilled Manual,1,2,CA,91950,1
37,M,F,60000,0,0,Partial College,Skilled Manual,1,2,CA,91203,1
39,M,M,60000,0,0,Partial College,Skilled Manual,1,2,CA,91203,0
34,M,F,60000,0,0,Partial College,Skilled Manual,0,2,CA,92102,1
41,M,F,60000,0,0,Partial College,Skilled Manual,0,2,CA,92806,0
36,M,F,60000,0,0,Partial College,Skilled Manual,1,2,CA,92020,0
37,M,M,60000,0,0,Partial College,Skilled Manual,1,2,CA,94015,0
38,S,M,60000,0,0,Partial College,Skilled Manual,0,2,CA,91932,1
39,M,M,60000,0,0,Partial College,Skilled Manual,1,2,CA,91203,1
40,S,M,60000,0,0,Partial College,Skilled Manual,1,2,CA,91203,1
37,S,F,60000,0,0,Partial College,Skilled Manual,1,2,CA,92118,0
38,S,M,60000,0,0,Partial College,Skilled Manual,0,2,CA,91945,0
38,S,M,60000,0,0,Partial College,Skilled Manual,0,2,CA,94611,0
35,M,F,60000,0,0,Partial College,Skilled Manual,1,2,CA,91977,1
37,S,M,60000,0,0,Partial College,Skilled Manual,0,2,CA,94010,1
36,M,M,60000,0,0,Partial College,Skilled Manual,1,2,CA,94010,1
38,M,F,60000,0,0,Partial College,Skilled Manual,1,2,CA,94015,0
34,S,F,60000,0,0,Partial College,Skilled Manual,0,2,CA,92102,1
39,S,F,60000,0,0,Partial College,Skilled Manual,0,2,CA,94611,1
40,S,M,60000,0,0,Partial College,Skilled Manual,0,2,CA,92806,1
36,S,M,60000,0,0,Partial College,Skilled Manual,0,2,CA,91776,0
36,S,M,60000,0,0,Partial College,Skilled Manual,0,2,CA,91945,1
36,S,M,60000,0,0,Partial College,Skilled Manual,0,2,CA,90802,1
37,S,F,60000,0,0,Partial College,Skilled Manual,1,2,CA,90241,0
38,S,F,60000,0,0,Partial College,Skilled Manual,0,2,CA,91932,0
36,M,M,60000,0,0,Partial College,Skilled Manual,1,2,CA,91977,1
36,S,M,60000,0,0,Partial College,Skilled Manual,1,2,CA,94014,1
36,S,M,60000,0,0,Partial College,Skilled Manual,0,2,CA,94519,1
36,S,F,60000,0,0,Partial College,Skilled Manual,1,2,CA,90505,1
38,M,M,60000,0,0,Partial College,Skilled Manual,1,2,CA,90241,0
37,M,M,60000,0,0,Partial College,Skilled Manual,0,2,CA,92020,0
39,M,F,60000,0,0,Partial College,Skilled Manual,1,2,CA,94303,0
35,M,F,60000,0,0,Partial College,Skilled Manual,1,2,CA,91776,1
40,M,M,60000,0,0,Partial College,Skilled Manual,1,2,CA,94941,0
36,M,F,60000,0,0,Partial College,Skilled Manual,1,2,CA,92806,0
36,M,M,60000,0,0,Partial College,Skilled Manual,0,2,CA,90505,1
36,S,F,60000,0,0,Partial College,Skilled Manual,0,2,CA,94519,1
36,S,M,60000,0,0,Partial College,Skilled Manual,0,2,CA,94015,1
36,S,M,60000,0,0,Partial College,Skilled Manual,1,2,CA,94941,1
37,S,M,60000,0,0,Partial College,Skilled Manual,0,2,CA,91203,0
37,S,F,60000,0,0,Partial College,Skilled Manual,0,2,CA,91932,0
42,M,F,60000,0,0,Partial College,Skilled Manual,1,2,CA,94704,0
35,S,M,60000,0,0,Partial College,Skilled Manual,0,2,CA,91791,1
37,M,F,60000,0,0,Partial College,Skilled Manual,0,2,CA,92806,1
37,M,F,60000,0,0,Partial College,Skilled Manual,1,2,CA,90802,1
37,S,M,60000,0,0,Partial College,Skilled Manual,1,2,CA,91502,0
37,M,M,60000,0,0,Partial College,Skilled Manual,0,2,CA,92118,0
37,S,M,60000,0,0,Partial College,Skilled Manual,0,2,CA,91941,0
40,M,M,60000,0,0,Partial College,Skilled Manual,1,2,CA,92806,0
39,M,M,60000,0,0,Partial College,Skilled Manual,1,2,CA,90802,0
41,S,F,60000,0,0,Partial College,Skilled Manual,0,2,CA,91950,0
37,M,F,60000,0,0,Partial College,Skilled Manual,1,2,CA,91203,1
37,S,M,60000,0,0,Partial College,Skilled Manual,1,2,CA,94014,0
38,S,M,60000,0,0,Partial College,Skilled Manual,0,2,CA,91932,0
42,S,M,60000,0,0,Partial College,Skilled Manual,0,2,CA,94063,0
37,S,M,60000,0,0,Partial College,Skilled Manual,0,2,CA,91502,1
37,M,M,60000,0,0,Partial College,Skilled Manual,1,2,CA,94519,1
37,S,M,60000,0,0,Partial College,Skilled Manual,1,2,CA,91910,0
38,S,M,60000,0,0,Partial College,Skilled Manual,0,2,CA,91364,0
39,M,F,60000,0,0,Partial College,Skilled Manual,1,2,CA,94063,0
39,S,F,60000,0,0,Partial College,Skilled Manual,0,2,CA,91941,0
34,M,M,60000,0,0,Partial College,Skilled Manual,0,2,CA,90012,0
39,M,F,60000,0,0,Partial College,Skilled Manual,1,2,CA,91950,0
38,M,M,60000,0,0,Partial College,Skilled Manual,1,2,CA,92020,0
39,M,F,60000,0,0,Partial College,Skilled Manual,1,2,CA,94704,0
38,M,F,60000,0,0,Partial College,Skilled Manual,1,2,CA,92625,0
34,S,F,60000,0,0,Partial College,Skilled Manual,1,2,CA,92102,1
39,S,M,60000,0,0,Partial College,Skilled Manual,0,2,CA,91932,1
39,M,F,60000,0,0,Partial College,Skilled Manual,1,2,CA,91945,0
40,S,F,60000,0,0,Partial College,Skilled Manual,0,2,CA,94303,1
39,S,F,60000,0,0,Partial College,Skilled Manual,0,2,CA,91791,1
39,S,M,60000,0,0,Partial College,Skilled Manual,1,2,CA,91791,0
36,M,F,60000,0,0,Partial College,Skilled Manual,0,2,CA,91932,0
36,S,F,60000,0,0,Partial College,Skilled Manual,0,2,CA,94063,0
37,S,F,60000,0,0,Partial College,Skilled Manual,0,2,CA,91910,1
37,M,F,60000,0,0,Partial College,Skilled Manual,1,2,CA,94536,1
37,M,M,60000,0,0,Partial College,Skilled Manual,1,2,CA,94015,0
