Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
0,0,0,0,2,64,0,0.1,0,0,Feb,2,2,1,2,Returning_Visitor,FALSE,FALSE
0,0,0,0,2,32,0,0.1,0,0,Feb,2,2,1,3,Returning_Visitor,FALSE,FALSE
0,0,0,0,2,19,0,0.1,0,0,Mar,2,2,3,11,Returning_Visitor,TRUE,FALSE
0,0,0,0,2,8,0,0.1,0,0,Mar,2,2,5,1,Returning_Visitor,TRUE,FALSE
0,0,0,0,2,9,0,0.1,0,0,Mar,2,2,1,3,Returning_Visitor,TRUE,FALSE
0,0,0,0,2,7,0,0.1,0,0,Mar,2,2,1,1,Returning_Visitor,FALSE,FALSE
0,0,0,0,2,5,0,0.1,0,0,Mar,2,2,1,13,Returning_Visitor,TRUE,FALSE
0,0,0,0,2,92,0,0.1,0,0,Mar,2,2,8,1,Returning_Visitor,FALSE,FALSE
0,0,0,0,2,5,0,0.1,0,0,Mar,2,2,1,1,Returning_Visitor,TRUE,FALSE
0,0,0,0,2,22,0,0.1,0,0,Mar,2,2,1,1,Returning_Visitor,FALSE,FALSE
0,0,0,0,2,5,0,0.1,0,0,Mar,2,2,1,2,Returning_Visitor,FALSE,FALSE
0,0,0,0,2,5,0,0.1,0,0,Mar,2,2,3,1,Returning_Visitor,FALSE,FALSE
0,0,0,0,2,22,0,0.1,0,0,Mar,2,2,3,1,Returning_Visitor,FALSE,FALSE
0,0,0,0,2,19,0,0.1,0,0,Mar,2,2,1,3,Returning_Visitor,FALSE,FALSE
0,0,0,0,2,14,0,0.1,0,0,Mar,2,2,6,3,Returning_Visitor,FALSE,FALSE
0,0,0,0,2,5,0,0.1,0,0,Mar,2,2,9,1,Returning_Visitor,FALSE,FALSE
0,0,0,0,2,49,0,0.1,0,0,Mar,2,2,1,3,Returning_Visitor,TRUE,FALSE
0,0,0,0,2,4,0,0.1,0,0,Mar,2,2,4,1,Returning_Visitor,FALSE,FALSE
0,0,0,0,2,28,0,0.1,0,0,May,2,2,1,3,Returning_Visitor,FALSE,FALSE
0,0,0,0,2,0,0,0.1,0,0,May,2,2,1,13,Returning_Visitor,TRUE,FALSE
0,0,0,0,2,19,0,0.1,0,0,May,2,2,1,4,Returning_Visitor,FALSE,FALSE
0,0,0,0,2,34,0,0.1,0,0,May,2,2,1,4,Returning_Visitor,TRUE,FALSE
0,0,0,0,2,25,0,0.1,0,0,May,2,2,1,5,Returning_Visitor,TRUE,FALSE
0,0,0,0,2,13,0,0.1,0,0,May,2,2,1,3,Returning_Visitor,FALSE,FALSE
0,0,0,0,2,203,0,0.1,0,0,May,2,2,1,3,Returning_Visitor,FALSE,FALSE
0,0,0,0,2,44,0,0.1,0,0,May,2,2,3,6,Returning_Visitor,FALSE,FALSE
0,0,0,0,2,17,0,0.1,0,0,May,2,2,2,4,Returning_Visitor,FALSE,FALSE
0,0,0,0,2,113,0,0.1,0,0,May,2,2,3,13,Returning_Visitor,FALSE,FALSE
0,0,0,0,2,9,0,0.1,0,0,May,2,2,2,3,Returning_Visitor,FALSE,FALSE
0,0,0,0,2,14,0,0.1,0,0,May,2,2,1,1,Returning_Visitor,FALSE,FALSE
0,0,0,0,2,59,0,0.1,0,0,May,2,2,7,4,Returning_Visitor,FALSE,FALSE
0,0,0,0,2,12,0,0.1,0,0,May,2,2,3,13,Returning_Visitor,FALSE,FALSE
0,0,0,0,2,404,0,0.1,0,0,May,2,2,6,13,Returning_Visitor,FALSE,FALSE
0,0,0,0,2,7,0,0.1,0,0,June,2,2,7,1,Returning_Visitor,FALSE,FALSE
0,0,0,0,2,4,0,0.1,0,0,Aug,2,2,1,1,Returning_Visitor,FALSE,FALSE
0,0,0,0,2,11,0,0.1,0,0,Jul,2,2,1,1,Returning_Visitor,TRUE,FALSE
0,0,0,0,2,28.2,0,0.1,0,0,Jul,2,2,1,1,Returning_Visitor,FALSE,FALSE
0,0,0,0,2,21.2,0,0.1,0,0,June,2,2,5,1,Returning_Visitor,FALSE,FALSE
0,0,0,0,2,34.2,0,0.1,0,0,Sep,2,2,1,2,Returning_Visitor,FALSE,FALSE
0,0,0,0,2,107.8,0,0.1,0,0,Aug,2,2,5,13,Returning_Visitor,FALSE,FALSE
0,0,0,0,2,65.4,0,0.1,0,0,Jul,2,2,9,13,Returning_Visitor,TRUE,FALSE
0,0,0,0,2,35.2,0,0.1,0,0,June,2,2,2,3,Returning_Visitor,TRUE,FALSE
0,0,0,0,2,7,0,0.1,0,0,Aug,2,2,6,13,Returning_Visitor,FALSE,FALSE
0,0,0,0,2,9,0,0.1,0,0,Dec,2,2,1,3,Returning_Visitor,FALSE,FALSE
0,0,0,0,2,17,0,0.1,0,0,Dec,2,2,1,10,Returning_Visitor,FALSE,FALSE
0,0,0,0,2,14,0,0.1,0,0,Dec,2,2,2,2,Returning_Visitor,FALSE,FALSE
0,0,0,0,2,18,0,0.1,0,0,Nov,2,2,2,6,Returning_Visitor,TRUE,FALSE
0,0,0,0,2,11,0,0.1,0,0,Dec,2,2,2,13,Returning_Visitor,FALSE,FALSE
0,0,0,0,2,7,0,0.1,0,0,Nov,2,2,4,1,Returning_Visitor,FALSE,FALSE
