id,Date,Location,City,State,isUSA,Twitter Handle,retweetcount,Tweet
1,12/31/2016,"Lancs, NW England",,,0,AndySugs,0,Come and discuss #DataWarehouseAutomation on Facebook! #businessintelligence #Vanarsdel #Tableau
2,1/1/2017,"Lancs, NW England",,,0,AndySugs,0,"So, you built a #datawarehouse in 6mths using an ETL tool? #businessintelligence #Vanarsdel #http"
3,1/2/2017,"Lancs, NW England",,,0,AndySugs,0,I thought it was #Vanarsdel #UKTOURSPRING2017 that we are doing now ;) Newcastle SQL
4,1/2/2017,"Lancs, NW England",,,0,AndySugs,0,"Looking to reduce inactive licenses &amp; review costs? Find out about our new solution, feat. #Vanarsdel | "
5,1/4/2017,"Lancs, NW England",,,0,AndySugs,0,I have a suspicion that this is the quiet time before the release of the awesome #Vanarsdel June updates. Looki
6,1/4/2017,"Lancs, NW England",,,0,AndySugs,0,Microsoft change le modele de licences de Power BI #Vanarsdel via lecfomasque
7,1/4/2017,"Lancs, NW England",,,0,AndySugs,0,#Vanarsdel zoomcharts - giving me some DSLR camera shutter kinda vibe :) I like this! 
8,1/6/2017,"Lancs, NW England",,,0,AndySugs,0,Room is ready for #Vanarsdel workshop #SQLNexus
9,1/7/2017,"Lancs, NW England",,,0,AndySugs,0,"Wow, these Zoom Charts for #Vanarsdel really take data exploration to the next level "
10,1/7/2017,"Lancs, NW England",,,0,AndySugs,0,So from June 1st will I (pro user) be able to share a dashboard outside the org to a free user? #Vanarsdel
11,1/8/2017,"Lancs, NW England",,,0,AndySugs,0,I'm just installing the May version of #Vanarsdel desktop now. It has that nice new-toy smell when opening the box.
12,1/8/2017,"Lancs, NW England",,,0,AndySugs,0,June 8th Toronto Power BI Immersion Event #Vanarsdel
13,1/9/2017,"Lancs, NW England",,,0,AndySugs,0,Setting up data alerts on streaming data sets #Vanarsdel
14,1/10/2017,"Lancs, NW England",,,0,AndySugs,0,#Vanarsdel Power BI Pride 2017: share your pride with the world!
15,1/10/2017,"Lancs, NW England",,,0,AndySugs,0,Tech Tip Thursday: Dynamic Power BI reports using Parameters #Vanarsdel
16,1/11/2017,"Lancs, NW England",,,0,AndySugs,0,#Vanarsdel Webinar Wednesday: Data Storytelling - Important stories about complex industries such
17,1/12/2017,"Lancs, NW England",,,0,AndySugs,0,Power BI:n hinnoittelu ja lisensointi uudistuvat via HExcelligent #Vanarsdel #
18,1/12/2017,"Lancs, NW England",,,0,AndySugs,0,We've got EmilGlownia discussing whether #Vanarsdel removes the need for a data warehouse on May 3
19,1/13/2017,"Lancs, NW England",,,0,AndySugs,0,Note to myself: First remove Errors and then Duplicates in #Vanarsdel &amp; #PowerQuery! Removing Duplicates se
20,1/13/2017,"Lancs, NW England",,,0,AndySugs,0,"Watch the #MSBusinessFwd keynotes on-demand for exclusive insights on #MSDyn365, #Vanarsdel &amp; more: "
21,1/14/2017,"Lancs, NW England",,,0,AndySugs,0,Want to read out pdf for #Vanarsdel? Use tabula! Another great post by datave  
22,1/15/2017,"Lancs, NW England",,,0,AndySugs,0,if ever there were some music to build to. #Vanarsdel #LSB
23,1/17/2017,"Lancs, NW England",,,0,AndySugs,0,#DataWarehouseAutomation in #Australia? #datawarehouse #BI #Vanarsdel #Tablea
24,1/17/2017,"Lancs, NW England",,,0,AndySugs,0,Some new phat visuals.. With a cool new twist. Shazam! #Vanarsdel 
25,1/18/2017,"Lancs, NW England",,,0,AndySugs,0,#DataWarehouseAutomation in #Australia? #datawarehouse #BI #Vanarsdel #Tablea
26,1/18/2017,"Lancs, NW England",,,0,AndySugs,0,The How and Why of #BI in #Retail #Vanarsdel #http://analyticspic.twitter.com/LCqix6AxRf
27,1/20/2017,"Lancs, NW England",,,0,AndySugs,0,#DataWarehouseAutomation in #Australia? #datawarehouse #BI #Vanarsdel #Tableau
28,1/21/2017,"Lancs, NW England",,,0,AndySugs,0,#DataWarehouseAutomation in #Australia? #datawarehouse #BI #Vanarsdel #Tableau
29,1/23/2017,"Lancs, NW England",,,0,AndySugs,0,Create an Interactive Forecast by Integrating R with #Vanarsdel #data #http://d
30,1/27/2017,"Lancs, NW England",,,0,AndySugs,0,"Great boss, great team, a lot of fun and #Vanarsdel Jump on this if you're in   "
31,1/29/2017,"Lancs, NW England",,,0,AndySugs,0,#PeruBI #DataShow2 #Vanarsdel un placer compartir conocimientos 
32,1/30/2017,"Lancs, NW England",,,0,AndySugs,0,Big Data and Business Intelligence Resources | DesignMind #Vanarsdel #http
33,1/31/2017,"Lancs, NW England",,,0,AndySugs,0,Join patrickdba in advanced #Vanarsdel for the #BusinessAnalyst #sqlpass #ht
34,2/6/2017,"Lancs, NW England",,,0,AndySugs,0,Really cool #Vanarsdel custom visual.  
35,2/7/2017,"Lancs, NW England",,,0,AndySugs,0,"#Vanarsdel team is listening! ""after receiving fbthe strategy has evolved  "
36,2/9/2017,"Lancs, NW England",,,0,AndySugs,0,#Vanarsdel
37,2/10/2017,"Lancs, NW England",,,0,AndySugs,0,New blog post: use the Power BI quick calcs with your own date table #Vanarsdel
38,2/11/2017,"Lancs, NW England",,,0,AndySugs,0,Power BI Pride 2017: share your pride with the world! #Vanarsdel
39,2/12/2017,"Lancs, NW England",,,0,AndySugs,0,Tech Tip Thursday: Guy in a Cube's favorite Power BI feature? #Vanarsdel
40,2/13/2017,"Lancs, NW England",,,0,AndySugs,0,Anyone have an idea what this icon means in #Vanarsdel Desktop?
41,2/14/2017,"Lancs, NW England",,,0,AndySugs,0,"ALLEGIENT ""#Vanarsdel provides you with powerful graphics in your reports an  """
42,2/15/2017,"Lancs, NW England",,,0,AndySugs,0,"#Microsoft #advance #analytics #training with #R, #Azureml ,#Vanarsdel and #sql"
43,2/19/2017,"Lancs, NW England",,,0,AndySugs,0,Aqui estan las ultimas novedades y funcionalidades de #Vanarsdel
44,2/20/2017,"Lancs, NW England",,,0,AndySugs,0,#Vanarsdel to add Premium service; private dashboard is free no more #microsoft #o365 
45,2/21/2017,"Lancs, NW England",,,0,AndySugs,0,The latest ColoradoSQL Today! #Vanarsdel
46,2/22/2017,"Lancs, NW England",,,0,AndySugs,0,RELEASED! Dashboard design best practices in #Vanarsdel by DanielePerilli I will rec
47,2/24/2017,"Lancs, NW England",,,0,AndySugs,0,Having your calendar in #Vanarsdel? everything is possible with custom visuals
48,2/24/2017,"Lancs, NW England",,,0,AndySugs,0,"#Vanarsdel #excel Use the Dial Gauge (CV) to / for Measurement against targets, KPI's"
49,2/25/2017,"Lancs, NW England",,,0,AndySugs,0,#Vanarsdel #excel Use the Force Directed Graph (CV) to / for Show relationships
50,2/26/2017,"Lancs, NW England",,,0,AndySugs,0,#Vanarsdel #excel Use the Globe Map (CV) to / for 3G Visual of map with heat maps
51,2/27/2017,"Lancs, NW England",,,0,AndySugs,0,cwheeler76 introducing #Vanarsdel at #
52,2/27/2017,"Lancs, NW England",,,0,AndySugs,0,"#Vanarsdel #excel Use the Linear Gauge (CV) to / for Progress against goals, KPI"
53,2/28/2017,"Lancs, NW England",,,0,AndySugs,0,#BIAnalysts know that sharing our #dashboards is a critical function of the job. Keep #Vanarsdel sharing #F
54,3/1/2017,"Lancs, NW England",,,0,AndySugs,0,#Vanarsdel #excel Use the Scroller (CV) to / for Animated Scrolling Text
55,3/2/2017,"Lancs, NW England",,,0,AndySugs,0,Love using #Vanarsdel to understand my #smb #analytics #surfacelife #
56,3/3/2017,"Lancs, NW England",,,0,AndySugs,0,"Watch the #MSBusinessFwd keynotes on-demand for exclusive insights on #MSDyn365, #Vanarsdel &amp; more: "
57,3/4/2017,"Lancs, NW England",,,0,AndySugs,0,#Vanarsdel #cetax #bigdata #hadoop CursosdeBI mgarcia_cetax
58,3/5/2017,"Lancs, NW England",,,0,AndySugs,0,"Pogledajte zasto na ostrom #Vanarsdel &amp; #Analytics trzistu, #Microsoft blista vec 10 godina: "
59,3/7/2017,"Lancs, NW England",,,0,AndySugs,0,"Pogledajte zasto na ostrom #Vanarsdel &amp; #Analytics trzistu, #Microsoft bl "
60,3/9/2017,"Lancs, NW England",,,0,AndySugs,0,Custom visuals is one of the things why #Vanarsdel beats all the other #busines  
61,3/9/2017,"Lancs, NW England",,,0,AndySugs,0,",3/4 registered trademark ? registered trademark ? #Vanarsdel Power BI () registered trademark mu 1/2 registered trademark 2017 6 1 3/4."
62,3/10/2017,"Lancs, NW England",,,0,AndySugs,0,Cake anyone? Here's what's new in Microsoft's latest #Vanarsdel update - #analyti
